Organism,Modeling region,20150207_CLK_BAP_VO_1,20150207_CLK_BAP_VO_2,20150207_CLK_BAP_VO_3,20150207_CLK_BAP_VO_4,20150207_CLK_BAP_VO_5,20150207_CLK_BAP_VO_6,20150207_CLK_BAP_VO_7,20150207_CLK_BAP_VO_8,20150207_CLK_BAP_VO_9,20150207_CLK_BAP_VO_10,X20150207_CLK_BAP_VO_11,X20150207_CLK_BAP_VO_12,X20150207_CLK_BAP_VO_13,X20150207_CLK_BAP_VO_14,X20150207_CLK_BAP_VO_15,X20150207_CLK_BAP_VO_16,X20150207_CLK_BAP_VO_17,X20150207_CLK_BAP_VO_18,X20150207_CLK_BAP_VO_19,X20150207_CLK_BAP_VO_20,X20150207_CLK_BAP_VO_21,X20150207_CLK_BAP_VO_22,X20150207_CLK_BAP_VO_23,X20150207_CLK_BAP_VO_24,X20150207_CLK_BAP_VO_25,X20150207_CLK_BAP_VO_26,X20150207_CLK_BAP_VO_27,X20150207_CLK_BAP_VO_28,X20150207_CLK_BAP_VO_29,X20150207_CLK_BAP_VO_30,X20150207_CLK_BAP_VO_31,X20150207_CLK_BAP_VO_32,X20150207_CLK_BAP_VO_33,X20150207_CLK_BAP_VO_34,X20150207_CLK_BAP_VO_35,X20150207_CLK_BAP_VO_36,X20150207_CLK_BAP_VO_37,X20150207_CLK_BAP_VO_38,X20150207_CLK_BAP_VO_39,X20150207_CLK_BAP_VO_40,X20150207_CLK_BAP_VO_41,X20150207_CLK_BAP_VO_42,X20150207_CLK_BAP_VO_43,X20150207_CLK_BAP_VO_47
ECA,21-24,-9.703750733,-2.726009991,2.38832056,53.12448763,-122.3376951,7.250187935,-2.195817053,-16.84160371,-13.68234195,-31.92979456,-35.67999089,-40.60725218,-29.43655784,-29.80231607,-22.71500495,-15.16684876,-10.88994017,-10.31491426,1.396045528,-5.456003301,79.59862088,68.02128829,31.55071528,29.85858829,-91.23949598,-70.18615053,-92.14400279,-32.7255303,11.40121756,-130.9627188,-160.130298,-149.4660506,-207.2140055,-167.8511867,-161.3793603,-154.6003166,-217.5327871,-274.926699,-301.5943163,-305.7372833,-157.1961282,-188.9438259,-261.6181765,-80.65871933
BCA,18-22,4.040582443,0.488512814,1.904536434,76.46365608,82.46047528,96.00468208,95.68834986,65.50886528,47.62972199,23.57936914,21.65366938,30.96139356,18.82376619,17.87014763,-4.425082367,5.264384555,8.146966151,44.32346986,78.35899541,76.63371608,80.18617235,82.17660682,9.660417289,-11.13614204,-17.85972119,-17.55738299,-15.41404291,-17.21013983,5.154575968,-0.651517831,19.14012449,10.31986809,12.69513845,8.364195902,0.257819921,15.04058542,8.591568986,22.20178684,3.195456866,-11.85786593,-4.365138137,16.28904935,0.920695309,-8.898473581
PCA,18-23,7.406559247,10.31467955,16.41659562,102.2387043,111.7570785,112.2759538,89.09535791,32.98746437,19.73803887,11.68233951,33.48415085,55.67015961,29.95470355,23.4256972,20.87071898,1.296733122,5.066181361,7.607847731,69.0658189,76.51109014,89.26979058,40.14790344,10.4887332,-4.001591399,-9.260366917,-7.803570621,8.244420846,7.19274757,8.547315456,7.788389424,5.685531992,7.758518584,7.032406908,6.642300376,4.466610492,8.784190666,8.338124134,12.05234619,-7.61008037,-13.80130649,-2.825227784,-6.315755763,4.210528733,-11.12852578
OCA,18-22,17.42295986,17.20589915,18.97703708,98.37620853,113.4440084,118.424452,93.8709457,24.57278792,21.294877,21.33353753,11.69580688,59.29318605,32.05975731,10.641934,4.571161935,-13.94876699,-0.113174896,10.50348055,75.88943875,83.2456482,85.11269317,25.33386634,-5.046559365,-11.40748828,1.342589205,-0.37795353,5.596437449,-9.718587129,5.030435459,-23.3008147,-32.90496985,1.553947095,4.07720857,6.760667908,13.04738879,15.98538467,17.15533897,13.82907817,-0.757309518,-6.582153576,-3.14708951,-2.217543159,5.826193326,16.90216492
EFA,18-21,-3.169784681,-6.374867631,0,55.31238969,76.36427815,86.60077656,54.35933639,69.80585951,31.4366396,0.903635722,-1.899046947,-2.040240028,-3.889869396,13.35686551,6.346629015,40.82597953,3.275679492,86.33250971,62.32968585,99.64013752,40.08932301,-1.24987951,21.24152556,3.38977605,1.98888282,9.77733509,99.15175272,2.451563153,2.715033898,6.840600199,4.797095396,5.118401182,35.09623108,83.79976223,87.28271696,78.21546766,85.32275166,84.97026861,86.66529971,83.77391007,0,84.75155492,82.71164071,76.30155999
ABA,17-21,-1.155958,-2.090357384,0,75.2047009,91.39774588,98.21789808,97.42799345,97.70734997,86.85097775,75.4358925,52.51902514,42.52962142,18.68798767,18.63018977,14.86369329,46.18052211,26.92418842,98.33349388,100.3082555,100.5392314,24.88232875,0.534661609,4.21788603,12.42517022,2.664168533,0.781428506,100.4478362,-1.284101814,1.11959055,2.746424165,9.537083581,7.709180643,53.95512498,51.71594388,92.87117854,91.82927387,93.79426952,96.94634428,96.532126,96.20460457,0,96.52249302,94.64406127,96.32983335
PAA,17-21,6.489055075,7.525122692,0,72.58705305,46.45945314,33.85526213,28.90083353,28.19194516,20.97063177,14.349147,7.595232531,4.198800343,1.394406793,1.152917348,-1.004907689,-3.427592117,0.662148477,3.186102672,13.15727974,39.18886296,18.16206647,17.61487085,21.57399211,19.62661946,15.47437032,19.15184679,8.803411926,16.89064135,15.10420858,16.28711676,17.22861511,16.26297578,16.5285266,26.73211555,33.42721494,49.57753279,43.34111209,45.10638298,33.28327076,42.71172299,0,74.20108469,68.01001252,98.57321652
EC1,21-24,-8.980574126,2.109839443,7.028341083,55.93127663,-159.0961226,14.0651744,8.736534788,-16.0796906,-14.40358772,-33.15400302,-39.60796518,-24.74274514,-27.43231198,-26.70778798,-18.12685901,-9.437929709,-2.471555367,-10.93921717,8.574365856,3.628825854,84.31880117,64.36617394,37.80210062,38.57822104,-96.89600825,-75.97835951,-97.93837846,-37.55709162,12.1175243,-169.4248382,-174.286446,-161.4019161,-202.1461254,-179.1300792,-171.212371,-169.4378215,-207.1738522,-273.568924,-269.6974776,-322.4603767,-162.2897727,-234.454488,-179.6083796,-50.25648678
EC2,21-24,-6.21858982,-4.699936273,-5.811897206,61.5169993,-116.325403,-17.31891294,-28.45837925,-42.75567641,-33.6080366,-57.36071174,-36.76748966,-43.85955637,-46.20946943,-53.6861187,-49.26657342,-36.35205517,-31.53942577,-27.7544928,-18.4060902,-21.05148476,71.27987509,64.9673977,25.66045743,22.93701682,-76.98628897,-58.00385564,-76.9280999,-23.87303868,8.718426598,-90.75483767,-112.0603877,-99.93822606,-158.2822439,-113.4297984,-105.8977539,-108.2054295,-164.1534517,-233.6979488,-250.826473,-247.9319499,-184.8315691,-171.8167746,-224.43336,-82.6674285
EC3,21-24,-13.91208825,-5.587933143,5.948517802,41.92518695,-91.59155985,25.00430235,13.1343933,8.310555875,6.964598483,-5.274668928,-30.66451783,-53.21945503,-14.66789211,-9.013041529,-0.751582412,0.289438588,1.341160624,7.748967203,14.01986092,1.054649,83.19718638,74.73029325,31.18958778,28.06052702,-99.83619072,-76.57623644,-101.56553,-36.74646059,13.36770178,-132.7084805,-194.0440605,-187.0580096,-261.2136471,-210.9936826,-207.0279561,-186.1576986,-281.2710573,-317.5132244,-384.2589982,-346.8195232,-124.4670427,-160.5602151,-380.8127898,-109.0522427
